qty,basis,pnl,return_pct,buy_date_dt,sell_date_dt
1,201.190035,6.849777,3.404630353585852,2025-06-26,2025-07-02
10,4979.90035,21.69777,0.4357069112838774,2025-06-26,2025-07-09
3,821.710105,-1.250669,-0.15220319092948237,2025-06-27,2025-07-01
54,3681.64189,250.167958,6.7950106358660545,2025-06-30,2025-07-02
100,103.938191,133.659707,128.59537549580787,2025-06-30,2025-07-02
3,3157.150105,42.619331,1.3499304620487786,2025-06-30,2025-07-02
4,4209.20014,57.229108,1.3596195499508845,2025-06-30,2025-07-02
900,1309.5315,35.7993,2.7337486727123403,2025-06-30,2025-07-02
607,3911.7862450000002,30.564639,0.7813473713975903,2025-06-30,2025-07-02
82,3932.081804,-88.11722,-2.2409813526860187,2025-07-01,2025-07-07
2851,4262.307722,-277.69921,-6.515231374934502,2025-07-01,2025-07-07
1059,4474.298298,306.88761,6.858899196264541,2025-07-01,2025-07-07
7,3574.290154,67.64853,1.892642373319757,2025-07-02,2025-07-07
2634,5649.987948,-132.25314,-2.340768532910152,2025-07-03,2025-07-07
161,3671.803542,-23.18381,-0.6314011557212011,2025-07-03,2025-07-07
95,5476.80209,225.98005,4.126131386281296,2025-07-07,2025-07-09
302,5739.516643999999,-335.28342,-5.841666481627857,2025-07-07,2025-07-09
450,4880.2599,262.9055,5.387120878541736,2025-07-08,2025-07-10
5,5251.00011,-21.95105,-0.4180356035071574,2025-07-08,2025-07-10
234,5785.655148,187.15086000000002,3.234739285570707,2025-07-08,2025-07-10
1663,5995.671586,-42.75923,-0.7131683146195593,2025-07-08,2025-07-10
103,6320.052266,-92.66213,-1.4661608179808052,2025-07-09,2025-07-11
5,5191.000135,93.148925,1.7944311804569044,2025-07-09,2025-07-11
29,6903.000638,-222.98609,-3.230277696520763,2025-07-10,2025-07-14
4,4171.440088,-64.40084,-1.543851491125623,2025-07-10,2025-07-14
1159,5314.040498,22.93661,0.43162279264963177,2025-07-11,2025-07-15
5,5270.25011,-318.15105,-6.03673532298451,2025-07-11,2025-07-15
2346,7472.0621120000005,210.64684,2.8191259232401835,2025-07-14,2025-07-16
2220,6981.94884,310.333799,4.444801961625373,2025-07-15,2025-07-17
589,5551.337958,-6.0136899999999995,-0.10832865960418979,2025-07-15,2025-07-17
343,4978.652545999999,113.11797,2.2720599390066374,2025-07-16,2025-07-18
