sell_time,pnl_amount,pnl_percentage,basis,buy_order_id
2025-11-19,-6.480000000000006,-0.03200000000000003,202.5,4b384225-eb0c-4601-ad8b-bfe351f6b7a6
2025-11-26,6.560000000000006,0.031007751937984523,211.56,84b0bd61-259b-4725-ac79-3294ee2576d0
2025-11-12,-0.9999999999999787,-0.004873294346978454,205.2,25d2cd51-a3be-417a-a620-ba3c60dbd81a
2025-11-24,-8.359456635200008,-0.0406091370558376,205.8516196418,8da22a40-fd4e-4187-9b38-c32738a09288
2025-11-25,60.189900000000016,0.29675925925925933,202.82399999999998,4545559e-ab18-43a2-9579-b7580d2f2c9c
2025-11-25,2.9707714420399878,0.014839636189564324,200.19166265876,5ab3410d-fd14-414c-9105-238271e57db9
2025-11-24,-4.884488448839989,-0.02330708661417318,209.57095709549998,9c33187e-83ca-4621-8c6c-5cfef151fa22
2025-11-24,35.457304964237636,0.16510548695993338,214.75546099108237,f5ac64e3-33ea-484f-a574-a6bfb260d8ba
2025-11-21,-15.080000000000002,-0.0736040609137056,204.88,7191de38-574f-436a-8baa-a23328b4741e
2025-11-12,3.989998999999992,0.020173925777873615,197.779998,4ad17443-c921-4c50-acf0-42aaa976f14d
2025-11-21,-8.065086663930003,-0.04031117397454033,200.07074636485999,e00d69ea-f7fe-4ed7-88e5-6c316e25bb4e
2025-11-21,-8.415147264899995,-0.0418994413407821,200.84151472227998,8fd3ec35-c485-4d2c-8286-85e6b60e03e3
2025-11-19,-8.239999999999984,-0.04210526315789466,195.7,b8475f99-b16b-45d5-aac9-1da76e97653f
2025-11-19,-5.004591366340016,-0.02501434308663232,200.06887044795002,6e67c861-56f6-45e6-a2d0-5e204a001a47
2025-11-19,-4.1999999999999815,-0.01962616822429898,214.0,37e4ce96-ab28-42b2-8507-396893db45b1
2025-11-19,0.0,0.0,193.92,dacf7a15-ba79-4a01-aafd-8ac2e57db8de
2025-11-14,-15.549597854920002,-0.07651715039577837,203.21715817292,6ca8d459-24fc-473c-a302-50434b8778df
2025-11-19,3.6601307188600147,0.016726403823178086,218.82352940612998,765693ec-3271-4661-855a-63fdef764183
2025-11-19,-10.766978427504313,-0.05260159632477117,204.6891953815843,f8791722-c6e7-4012-9934-8c1da07e996f
2025-11-19,-3.348566775009883,-0.01586361497714373,211.0847231122599,31ff9135-3e57-462c-b4fa-3eb9319ab69c
2025-11-19,9.873570138260003,0.04696449026345935,210.23479830978002,7eb5dae8-5c66-4879-afb4-12564211b9f0
