IBOrderID,qty,pnl,basis,netcash,date
622555835,-212,-14.88502,-6579.424664,6564.539644,2025-08-04;140043
622555840,-2125,-240.07625000000002,-7012.0517500000005,6771.9755,2025-08-04;140047
622555846,-6,-211.94126,-5867.980132,5656.038872,2025-08-04;140052
622555884,-170,-44.9357,-5344.1037400000005,5299.1680400000005,2025-08-04;140105
622555983,-64,-161.37344,-5691.881408,5530.507968,2025-08-04;140056
622555986,-3,-418.67063,-6061.540066,5642.869436,2025-08-04;140100
622952002,-355,111.52545,-6544.43281,6655.958259999999,2025-08-05;140028
622952055,-1950,467.5905,-5118.7929,5586.3834,2025-08-05;140032
622952131,-258,75.76581999999999,-4697.475676,4773.241496,2025-08-05;140055
622952247,-35,163.19265,-7882.65077,8045.84342,2025-08-05;140101
622952361,-25,-124.50525,-6735.75055,6611.2453,2025-08-05;140038
622952370,-1775,-284.372751,-6185.914049999999,5901.541300000001,2025-08-05;140050
622952419,-5081,303.79299000000003,-5614.616782,5918.409772,2025-08-05;140046
622952462,-245,315.99855,-7138.08039,7454.07894,2025-08-05;140041
622952476,-247,56.75813,-5462.410434,5519.168564,2025-08-05;140105
623374410,-1764,-375.31094,-6006.458807999999,5631.147868,2025-08-06;140031
623374467,-350,52.426500000000004,-5220.2577,5272.6842,2025-08-06;140017
623374479,-56,36.06824,-4787.321232,4823.389472,2025-08-06;140023
623374480,-221,-161.69641000000001,-5230.289862,5068.593452,2025-08-06;140026
623374662,-129,130.84291,-7450.752838,7581.595748,2025-08-06;140014
623374782,-155,161.267175,-6708.853685,6870.12086,2025-08-06;140041
623374789,-2266,-121.50586000000001,-7043.709852,6922.203992,2025-08-06;140044
623375139,-21,-121.49441,-5609.470462,5487.976052,2025-08-06;140049
623375390,-2351,-242.59371000000002,-7770.106722,7527.513011999999,2025-08-06;140053
623375399,-203,12.13737,-5780.429466,5792.566836,2025-08-06;140103
623375498,-61,-27.02281,-7360.041342,7333.018532,2025-08-06;140058
623375509,-148,-63.23108,-5320.643256,5257.412176,2025-08-06;140108
623441419,-100,21.979,-304.0022,325.9812,2025-08-06;155951
623442607,-183,29.07157,-7330.154026,7359.225596,2025-08-06;160000
623683423,-584,322.75694,-4860.1332680000005,5182.890208,2025-08-07;140025
623683453,-109,-66.33289,-5236.272398,5169.939508,2025-08-07;140035
623683456,-248,34.66792,-4681.005456,4715.673376,2025-08-07;140039
623683490,-373,-357.15833000000003,-8191.953206,7834.794876,2025-08-07;140029
623683627,-2100,-168.4415,-5596.546700000001,5428.1052,2025-08-07;140043
623683638,-60,23.1874,-7054.60132,7077.78872,2025-08-07;140049
623683849,-577,-52.051170000000006,-4982.4076939999995,4930.356524,2025-08-07;140057
623683915,-6,-353.72126,-5661.400132,5307.678872,2025-08-07;140107
623683931,-552,5.40408,-4799.652144,4805.056224,2025-08-07;140054
623684024,-188,-18.95948,-5680.484136,5661.524656,2025-08-07;140111
623695393,-210,188.95589999999999,-6395.55462,6584.510520000001,2025-08-07;142500
623983054,-3902,-781.21942,-4975.135844,4193.916424,2025-08-08;140051
623983186,-1421,0.70159,-5505.4062619999995,5506.107852,2025-08-08;140047
623983229,-59,-97.59239,-5464.991298,5367.398908,2025-08-08;140109
623983388,-154,5.66766,-6348.883388,6354.551048,2025-08-08;140041
623983401,-11445,-340.89995,-7380.45679,7039.55684,2025-08-08;140055
623983488,-1638,-327.94448,-5495.526036,5167.581556,2025-08-08;140100
623983654,-5,-484.65105,-4801.00011,4316.34906,2025-08-08;140105
624299697,-123,-313.21583,-6820.122706,6506.906876,2025-08-11;140101
624299774,-1076,-64.78596,-6256.963672,6192.177712,2025-08-11;140056
624299879,-18,26.25622,-6786.460396,6812.716616,2025-08-11;140106
624299929,-44,-64.92924,-6888.760968,6823.831728,2025-08-11;140111
624300110,-82,93.92278,-5176.021804,5269.944584,2025-08-11;140121
624300180,-427,-102.56967,-4998.0443940000005,4895.474724,2025-08-11;140126
624300183,-159,-92.66338999999999,-5141.473498,5048.810108,2025-08-11;140129
624308428,-611,-42.89831,-5294.328442,5251.4301319999995,2025-08-11;141943
624605215,-275,170.44187499999998,-8174.38105,8344.822925,2025-08-12;140044
624605222,-270,167.3433,-8025.755939999999,8193.09924,2025-08-12;140048
624605569,-1629,455.77791,-5123.240838000001,5579.0187479999995,2025-08-12;140034
624605583,-174,-83.81654,-6964.483828,6880.667288,2025-08-12;140038
624605700,-174,225.90346,-5539.423828,5765.327288,2025-08-12;140053
624605709,-56,-115.69176,-5874.281232,5758.589472,2025-08-12;140104
624605764,-330,191.9307,-4951.05726,5142.9879599999995,2025-08-12;140058
624605779,-2458,-639.59618,-7533.824076,6894.227895999999,2025-08-12;140107
625020360,-368,360.56272,-4804.248096,5164.810816,2025-08-13;140044
625020549,-2479,520.06683,-6953.649538,7473.716367999999,2025-08-13;140038
625020711,-9,64.33811,-5829.660198,5893.998308,2025-08-13;140030
625020794,-475,374.89975,-5797.38595,6172.285699999999,2025-08-13;140035
625020855,-1491,745.1868900000001,-4763.777803,5508.964692,2025-08-13;140048
625020941,-1177,-59.09767,-7326.851393999999,7267.753724,2025-08-13;140052
625021025,-284,241.50036,-5332.106248,5573.606608,2025-08-13;140107
625023159,-5,34.19895,-4311.55011,4345.74906,2025-08-13;140411
625027367,-3,107.82937,-5570.110066,5677.939436,2025-08-13;140846
625027368,-3,0.0,-5677.939436,5677.939436,2025-08-13;140846
625451258,-30,186.6937,-4786.30066,4972.99436,2025-08-14;140027
625451309,-965,144.54735,-7493.246230000001,7637.79358,2025-08-14;140022
625451628,-3280,163.3107,-4903.672659999999,5066.98336,2025-08-14;140031
625451689,-694,-152.82574,-5257.065268,5104.239528,2025-08-14;140056
625451730,-202,1.97758,-8218.374444,8220.352024,2025-08-14;140037
625451738,-136,0.69144,-5533.482992,5534.174432,2025-08-14;140041
