CurrencyPrimary,IBCommission,Open/CloseIndicator,CostBasis,FifoPnlRealized,LevelOfDetail,trade_date
USD,-1.0564,C,-1168.5066,45.437,EXECUTION,2025-08-15
USD,-0.5188,C,-389.5022,14.979,EXECUTION,2025-08-15
USD,-0.5188,C,-389.5022,14.979,EXECUTION,2025-08-15
USD,-0.5188,C,-389.5022,14.979,EXECUTION,2025-08-15
USD,-1.0376,C,-779.0044,29.958,EXECUTION,2025-08-15
USD,-0.036316,C,-27.265154,1.04853,EXECUTION,2025-08-15
USD,-1.717228,C,-1289.252282,49.58049,EXECUTION,2025-08-15
USD,-1.006956,C,-6044.210814,56.82223,EXECUTION,2025-09-24
USD,-1.018236,C,-4975.162134,43.56963,EXECUTION,2025-08-15
USD,-1.000564,C,-154.840066,-0.59063,EXECUTION,2025-08-15
USD,-0.001692,C,-461.520198,4.22811,EXECUTION,2025-08-15
USD,-0.017108,C,-4666.482002,42.75089,EXECUTION,2025-08-15
USD,-0.001128,C,-307.680132,2.81874,EXECUTION,2025-08-15
USD,-1.023124,C,-6820.122706,-313.21583,EXECUTION,2025-08-11
USD,-1.0376,C,-2303.0044,-40.042,EXECUTION,2025-10-14
USD,-1.701664,C,-3776.927216,-68.94888,EXECUTION,2025-10-14
USD,-1.411136,C,-3039.605984,190.34288,EXECUTION,2025-10-16
USD,-0.5188,C,-1117.5022,69.979,EXECUTION,2025-10-16
USD,-0.145264,C,-312.900616,19.59412,EXECUTION,2025-10-16
USD,-0.306092,C,-659.326298,41.28761,EXECUTION,2025-10-16
USD,-1.0376,C,-1179.0044,-344.042,EXECUTION,2025-09-25
USD,-0.5188,C,-589.5022,-172.021,EXECUTION,2025-09-25
USD,-0.5188,C,-589.5022,-172.021,EXECUTION,2025-09-25
USD,-2.526556,C,-2869.875714,-836.74227,EXECUTION,2025-09-25
USD,-1.0188,C,-319.0022,7.979,EXECUTION,2025-07-16
USD,-7.8008,C,-5095.5357,144.6635,EXECUTION,2025-07-16
USD,-0.5188,C,-318.5022,8.979,EXECUTION,2025-07-16
USD,-0.5188,C,-318.5022,8.979,EXECUTION,2025-07-16
USD,-2.313848,C,-1420.519812,40.04634,EXECUTION,2025-07-16
USD,-1.0188,C,-315.0022,12.979,EXECUTION,2025-07-17
USD,-2.6128,C,-1886.5132,84.873999,EXECUTION,2025-07-17
USD,-5.188,C,-3145.022,139.79,EXECUTION,2025-07-17
USD,-0.10376,C,-62.90044,2.7958,EXECUTION,2025-07-17
USD,-2.594,C,-1572.511,69.895,EXECUTION,2025-07-17
USD,-1.0188,C,-347.0022,-9.021,EXECUTION,2025-07-23
USD,-0.0188,C,-346.0022,-7.021,EXECUTION,2025-07-23
USD,-0.5188,C,-346.5022,-8.021,EXECUTION,2025-07-23
USD,-0.5188,C,-346.5022,-8.021,EXECUTION,2025-07-23
USD,-0.5188,C,-346.5022,-8.021,EXECUTION,2025-07-23
USD,-0.5188,C,-346.5022,-8.021,EXECUTION,2025-07-23
USD,-0.5188,C,-346.5022,-8.021,EXECUTION,2025-07-23
USD,-1.0188,C,-346.5022,-30.521,EXECUTION,2025-08-04
USD,-0.0188,C,-346.5022,-29.521,EXECUTION,2025-08-04
USD,-0.5188,C,-346.5022,-30.021,EXECUTION,2025-08-04
USD,-0.5188,C,-346.5022,-28.021,EXECUTION,2025-08-04
USD,-0.5188,C,-346.5022,-30.021,EXECUTION,2025-08-04
USD,-1.0376,C,-693.0044,-56.042,EXECUTION,2025-08-04
USD,-0.5188,C,-346.5022,-28.021,EXECUTION,2025-08-04
USD,-6.3553,C,-3926.53195,-12.88725,EXECUTION,2025-08-04
USD,-0.5188,C,-313.5022,4.979,EXECUTION,2025-08-04
USD,-4.1504,C,-2508.0176,-64.168,EXECUTION,2025-08-06
USD,-0.5188,C,-313.5022,-8.021,EXECUTION,2025-08-06
USD,-0.5188,C,-313.5022,-8.021,EXECUTION,2025-08-06
USD,-4.6692,C,-2779.5698,-30.239,EXECUTION,2025-08-06
USD,-1.898808,C,-1129.118052,-11.05686,EXECUTION,2025-08-06
USD,-1.0376,C,-617.0044,-4.042,EXECUTION,2025-09-15
USD,-4.466868,C,-2656.203942,-17.40081,EXECUTION,2025-09-15
USD,-1.0376,C,-1891.0044,21.958,EXECUTION,2025-10-03
USD,-1.0376,C,-1891.0044,21.958,EXECUTION,2025-10-03
USD,-0.565492,C,-1030.597398,11.96711,EXECUTION,2025-10-03
USD,-1.0188,C,-717.5022,-10.521,EXECUTION,2025-08-21
USD,-2.0752,C,-2870.0088,-72.084,EXECUTION,2025-08-22
USD,-1.5564,C,-2154.5066,-56.063,EXECUTION,2025-08-22
USD,-0.5188,C,-718.5022,-19.021,EXECUTION,2025-08-22
USD,-1.032712,C,-6964.483828,-83.81654,EXECUTION,2025-08-12
USD,-1.0188,C,-2970.0022,-27.021,EXECUTION,2025-09-02
USD,-0.0188,C,-2969.0022,-24.021,EXECUTION,2025-09-02
USD,-0.036316,C,-207.795154,-1.68147,EXECUTION,2025-09-02
USD,-1.036848,C,-5694.804312,-80.44116,EXECUTION,2025-09-16
USD,-1.01128,C,-7054.60132,23.1874,EXECUTION,2025-08-07
USD,-1.022372,C,-4899.042618,115.78501,EXECUTION,2025-09-19
USD,-1.0188,C,-4733.0022,-126.021,EXECUTION,2025-10-23
USD,-0.005076,C,-1277.640594,-33.48567,EXECUTION,2025-10-23
USD,-1.002632,C,-623.543115,23.654253,EXECUTION,2025-10-30
USD,-0.0188,C,-4453.879393,176.101807,EXECUTION,2025-10-30
USD,-1.0188,C,-2093.5022,252.479,EXECUTION,2025-08-26
USD,-0.0188,C,-2093.5022,251.479,EXECUTION,2025-08-26
USD,-1.0188,C,-1820.0022,28.979,EXECUTION,2025-08-05
USD,-0.0188,C,-1821.0022,29.979,EXECUTION,2025-08-05
USD,-0.300904,C,-1056.471276,16.80782,EXECUTION,2025-08-05
USD,-1.0188,C,-2084.0022,52.979,EXECUTION,2025-10-28
USD,-0.0188,C,-2083.0022,54.979,EXECUTION,2025-10-28
USD,-0.217896,C,-874.650924,23.93118,EXECUTION,2025-10-28
USD,-1.015604,C,-2720.365378,-84.470982,EXECUTION,2025-07-31
USD,-0.0188,C,-3277.548648,-100.567448,EXECUTION,2025-07-31
USD,-1.0188,C,-3184.0022,128.979,EXECUTION,2025-08-12
USD,-0.011468,C,-1941.631342,79.89719,EXECUTION,2025-08-12
USD,-0.002444,C,-413.790286,17.02727,EXECUTION,2025-08-12
USD,-1.03102,C,-1829.02863,45.99035,EXECUTION,2025-08-19
USD,-0.3438,C,-1108.5022,28.154,EXECUTION,2025-08-19
USD,-0.5188,C,-1108.5022,27.979,EXECUTION,2025-08-19
USD,-0.357972,C,-764.866518,19.30551,EXECUTION,2025-08-19
USD,-1.0188,C,-1313.037475,-11.056275,EXECUTION,2025-08-28
USD,-0.0188,C,-1312.2097,-9.2285,EXECUTION,2025-08-28
USD,-1.047976,C,-2651.011669,-19.999645,EXECUTION,2025-08-28
USD,-0.5188,C,-1312.3122,-9.831,EXECUTION,2025-08-28
USD,-2.0752,C,-4462.0088,155.916,EXECUTION,2025-11-04
USD,-0.347596,C,-747.386474,26.11593,EXECUTION,2025-11-04
USD,-1.5564,C,-3346.5066,116.937,EXECUTION,2025-11-04
USD,-1.0188,C,-214.5022,-5.521,EXECUTION,2025-07-07
USD,-2.6128,C,-1287.0132,-29.626,EXECUTION,2025-07-07
